entity,AUC_PR,AUC_ROC,F1,PA_F1,Event_F1,R_F1,Aff_F,VUS_ROC,VUS_PR
machine-1-1,0.5009977725887123,0.8803446081874012,0.5000445416275398,0.8092063985367381,0.5677549000520857,0.1503354022058939,0.7026669284269492,0.9247693289079575,0.549957415097617
machine-1-2,0.25171025817472137,0.8909086103996762,0.3649248503385202,0.9126726563754914,0.7144531138262094,0.26835041974358587,0.8643824710135455,0.9310392009753949,0.2650111522550246
machine-1-3,0.2063725379278952,0.8167786548777244,0.3009819506651822,0.47860799620113825,0.23369677912513373,0.16653997628895614,0.6701630991542574,0.8694617348551656,0.19109224819516402
machine-1-4,0.19407839107991215,0.848586359174476,0.3013962697289633,0.16775928762972916,0.2857142857142854,0.24774999075819498,0.6687494793547553,0.899655959362998,0.1953765025591666
machine-1-5,0.5452549053635356,0.9244651438742213,0.5515631541644945,0.7507936507936508,0.7272727272727267,0.5337792674441426,0.9028501179412259,0.9696071754672173,0.3988553569786343
machine-1-6,0.859275108666923,0.9161290761218888,0.8397068028940458,0.9944673969558927,0.9339817207036072,0.5984006580518294,0.8802458707392364,0.8917591156445273,0.8288639885165365
machine-1-7,0.6696672140012134,0.8370686175382571,0.7217230587175218,0.9975825509644011,0.9601701066210593,0.583070595778531,0.9475766524350435,0.8558773622008315,0.6845603064199275
machine-1-8,0.24553738333399275,0.5504638775723347,0.3097373320191034,0.9497730077417377,0.7343319079188988,0.3698885986438276,0.894210086697068,0.5623964435071361,0.18740442097646282
machine-2-1,0.18901149642357887,0.6804857274637421,0.22643075200192958,0.9739563696630746,0.7928688468510633,0.32908637863385776,0.9099807897138221,0.7181979436663938,0.19374284630293037
machine-2-2,0.16812574047003806,0.6202954596216251,0.26063562306454646,0.983360106887749,0.564167695081818,0.4841081955147656,0.8906069835303445,0.6307194473032186,0.17091661247642992
machine-2-3,0.5578708176116631,0.9340191969618704,0.5405015442802774,0.9748672822741262,0.8915455228703306,0.4827287796830929,0.9342202312209718,0.9509993774369396,0.4956089655532388
machine-2-4,0.4825368338981291,0.8211213565013089,0.44750025560581974,0.9891652848551127,0.9553138751853769,0.5122475150786402,0.924692978639041,0.8257020210322296,0.47404505253605134
machine-2-5,0.42869360575079246,0.8963275734963588,0.48042333950931804,0.9565450332131847,0.7472233089540928,0.5838538187232736,0.9546387836288017,0.9107128016266947,0.41404392202814816
machine-2-6,0.3769901694240538,0.8350989383043526,0.4787081736531585,0.948981063393912,0.867584490045435,0.4164708970851529,0.8760262004616107,0.8771723219048905,0.3370446899253341
machine-2-7,0.8234494975985983,0.9656415099978461,0.8165681541565306,0.9328257195607355,0.8806349559361308,0.47613547054561434,0.9255885450290142,0.9598930400611201,0.7015200532429452
machine-2-8,0.9691317285652289,0.9900405219259962,0.979122901728355,1.0,0.9999999999999997,0.7421354546802418,0.9999869975900099,0.9991148401916435,0.9608909623044747
machine-2-9,0.8482004040018876,0.9654406738856626,0.8157649365495463,0.9576538842662851,0.7392110619268325,0.219132654533356,0.8308838017337996,0.9895679355803939,0.9022569423755378
machine-3-1,0.4023723702174845,0.8394716221663691,0.46861635069685104,0.6417582417582418,0.6642335766423353,0.2669833510123138,0.6667875259338407,0.8929164120679796,0.28129071457821414
machine-3-10,0.780992110089703,0.9027469671138346,0.8318743603147623,0.9574176780899265,0.9486326307579882,0.5373776567054722,0.9408597703012725,0.9125178128391676,0.7747893094638272
machine-3-11,0.23046297828969467,0.9042366165782221,0.36343235013109493,1.0,0.9999999999999997,0.4007692307692309,0.9942602593169031,0.9300054579041811,0.21135910329018506
machine-3-2,0.06947790185761651,0.5989388529816126,0.11450870472729588,0.976055569237559,0.6737779115861302,0.3291083600584564,0.7861605715625729,0.5717656066919772,0.06279296443646806
machine-3-3,0.1252038392148151,0.7328188378273646,0.1794340339715978,0.9558363683859561,0.7649141831784363,0.47367488967338345,0.8847400989755847,0.7406260029893195,0.11198900780386001
machine-3-4,0.7688115092275741,0.932579368197948,0.768316795935318,0.9532237762209281,0.8067969176002026,0.29670719565045856,0.8174382894639208,0.9446314233256385,0.6909772905868111
machine-3-5,0.24281162043060225,0.7478903823698989,0.3435731775573222,0.7601168768037594,0.6853544740742875,0.32193133041232597,0.733579589954891,0.6194711339137194,0.12254512987250177
machine-3-6,0.5169697984431652,0.9124901384442834,0.4976178597529929,0.996742933499343,0.9704677452766166,0.5172788965837735,0.9920355508339969,0.9494044265580361,0.5856756199757991
machine-3-7,0.29211280888574237,0.7326385725145258,0.3525884822724035,0.9252848523418473,0.5698458336756206,0.17827326991968878,0.6670829580731245,0.7540197142683008,0.18125533055836235
machine-3-8,0.4171726129314945,0.8875253422180451,0.39012446349411406,0.9986160893739129,0.9908272582869971,0.43743146528619964,0.9654382307583477,0.9138486152249916,0.4358863865501717
machine-3-9,0.38364471567820313,0.8438458158692177,0.46809794762695844,0.6503340757238307,0.6666666666666662,0.2825401024051996,0.6667805778629732,0.9005003277583619,0.28639984820698394
