entity,AUC_PR,AUC_ROC,F1,PA_F1,Event_F1,R_F1,Aff_F,VUS_ROC,VUS_PR
machine-1-1,0.44643417962444953,0.8403645498514528,0.44902587413675843,0.7824711994578721,0.5433962264150939,0.1419526182440419,0.7026693341130278,0.898341089887692,0.49530841607954906
machine-1-2,0.36360828573619247,0.9124625124745823,0.42335274923857125,0.9194029850746268,0.8101851851851847,0.27525379313238113,0.927338140692867,0.9472774339112031,0.37235282274807846
machine-1-3,0.1293460484343549,0.7204117876083523,0.18679922020513018,0.212253829321663,0.1538461538461537,0.08286080874136005,0.6701650796196328,0.7773549952284347,0.11057792569322417
machine-1-4,0.1392005360738407,0.7720773977040841,0.21375019425811606,0.12743823146944083,0.2857142857142854,0.18609823911028736,0.6687466449197425,0.8369102004729775,0.14415409904700438
machine-1-5,0.48691560951274293,0.917866254184854,0.5477660757419172,0.75,0.7272727272727267,0.5562343048163653,0.7267650722511502,0.9637573844189596,0.32808849116783445
machine-1-6,0.8618704891935376,0.9142818554390386,0.8519914615545158,0.9892881355932204,0.8212470848164964,0.4339310043057851,0.7572606748746327,0.8088839915661145,0.7180864082878009
machine-1-7,0.5917238319527394,0.8161696121435156,0.691731938000211,0.9908713692946058,0.8582642825992146,0.5414799710445072,0.9205564532405481,0.8345714706908274,0.6084281885666838
machine-1-8,0.2068633336254737,0.6482006454928089,0.2545020855121975,0.5186526620789569,0.24058071206360146,0.1800712427501523,0.7453698452048517,0.6412679154105801,0.08298212000995753
machine-2-1,0.3672020442631018,0.7647391008083879,0.42575382684133095,0.9623188405797102,0.8022690437601291,0.3686515493082844,0.9187071304282953,0.8035159282949018,0.3753286676046104
machine-2-2,0.17346565986301285,0.6371980375799826,0.26749315270955604,0.9775474956822107,0.4663677130044838,0.47548604609135015,0.8848099066309211,0.6491863686168364,0.17689700986507637
machine-2-3,0.647260480423856,0.9434115662910026,0.5975345579407809,0.9613899613899614,0.7499999999999994,0.385144252613238,0.7866391557401874,0.9583940747891662,0.5497812734195279
machine-2-4,0.4272373782035447,0.8598672483541367,0.4101618526149187,0.38281622911694513,0.13352776573523023,0.08358622667208297,0.6806369121070733,0.8572349266583214,0.3081833343551786
machine-2-5,0.3632499871817037,0.8873480625730469,0.38578599581638223,0.3103448275862069,0.21949556918882035,0.17202242947009178,0.6757356077252374,0.9007850308395556,0.33186787132773127
machine-2-6,0.3268439706133236,0.8416592243556846,0.4288252223986444,0.5401709401709401,0.5415335463258782,0.3502121648300442,0.6667710876974282,0.8563635914464485,0.1843587337520005
machine-2-7,0.7912784276631846,0.9328272319832145,0.8102514342514664,0.8473282442748091,0.17987533392698116,0.11924304379004759,0.6694129334735868,0.9235493469860541,0.5762456762922259
machine-2-8,0.9693348339170389,0.9896970370403606,0.9810076600559091,1.0,0.9999999999999996,0.9797211660329531,0.9999955435750536,0.9989319985282443,0.9335410123401878
machine-2-9,0.7116725961554721,0.9218333721190015,0.7175378107289755,0.9615612063867534,0.7470817120622563,0.2298503239517554,0.8782381328092902,0.958952883454819,0.7792821658325545
machine-3-1,0.3789621882480642,0.740066763029452,0.4745724792029507,0.5773672055427251,0.39999999999999963,0.21492324169939309,0.6667898278147995,0.7351840313030448,0.131746720842292
machine-3-10,0.7936375846344144,0.8795307434865767,0.847488458861636,0.9197960129809921,0.7642299237640889,0.2855131979338983,0.8531084898950155,0.8784457066338043,0.6300925981506478
machine-3-11,0.1962096596608213,0.9185213608938556,0.27242083472015827,1.0,0.9999999999999996,0.4007692307692308,0.9939959296864727,0.9518470847242761,0.17759365432754504
machine-3-2,0.04910014634639395,0.4920958654740442,0.09036372618165021,0.9284351145038168,0.465116279069767,0.23766718943449394,0.7236123224618598,0.46130421515651765,0.045870177460114035
machine-3-3,0.11761217286671344,0.7715776692767652,0.20604570075265222,0.8907849829351536,0.40366972477064184,0.3401261677332469,0.8224120534898144,0.7762419783991612,0.11350603290621177
machine-3-4,0.8626808621831651,0.9692953344752306,0.84052659506938,0.9397721106890938,0.5698847262247833,0.3163509641815607,0.7695360716501117,0.9522747353639675,0.5872132259660805
machine-3-5,0.19079512096768575,0.7059989365155501,0.32492515884068773,0.7551020408163265,0.6122448979591831,0.29789135501939873,0.7017028556548036,0.6005407761795675,0.0942677633941808
machine-3-6,0.4265851468736392,0.9384491338476101,0.45076787572155763,0.991180176396472,0.8767908309455582,0.43965407583087585,0.8901511882778663,0.9575703910487894,0.47770357042439415
machine-3-7,0.3793398481976291,0.7559169841643059,0.42906074400955363,0.8348993288590604,0.33333333333333304,0.11148894826329854,0.6670785278074042,0.7276295948245132,0.1607234696427406
machine-3-8,0.38684808161994944,0.8515737374591591,0.3728766838490182,0.9730305180979418,0.8749999999999996,0.36951281388306223,0.8782872927558346,0.8879005695315997,0.395949159372218
machine-3-9,0.33346779978180824,0.7188687285333583,0.4688242369430434,0.5,0.39999999999999963,0.1983053367028393,0.6667946531899523,0.7121550109971707,0.11373906060323434
