entity,AUC_PR,AUC_ROC,F1,PA_F1,Event_F1,R_F1,Aff_F,VUS_ROC,VUS_PR
machine-1-1,0.4782853138149311,0.8476838761516615,0.5207511157002124,0.7826479891549932,0.545454545454545,0.14246454818566062,0.7026671615459665,0.9060806428775332,0.5335156329867315
machine-1-2,0.266594969545674,0.8877590125121316,0.30371573364487786,0.9685534591194969,0.751079136690647,0.30154284646551793,0.9085189426256702,0.927876697180257,0.26221135268593576
machine-1-3,0.1300253437851166,0.7314458370288365,0.16872149480411874,0.212253829321663,0.1538461538461537,0.07905497501135848,0.6701745006017039,0.7735155412869926,0.10494582152019995
machine-1-4,0.16506870678064622,0.813756818115879,0.2604649661517437,0.12743823146944083,0.2857142857142854,0.18056731185222805,0.6687443495633691,0.8767690675343837,0.17442199069270467
machine-1-5,0.5231310649062156,0.9333042335890156,0.528841161289736,0.801762114537445,0.7272727272727267,0.5567062652820954,0.8310196287959564,0.9698365638992472,0.3897535729970271
machine-1-6,0.8583278819047416,0.9078519258137228,0.8428348839789845,0.9843089098103425,0.7800665474198445,0.35723350144247656,0.7213899117712509,0.7927692154220982,0.7133465858066125
machine-1-7,0.6439547190247796,0.8269193523176311,0.7154796038507507,0.6409966024915063,0.6931659693165964,0.31404102762667874,0.6815407874660602,0.8441181373681929,0.6585276470588057
machine-1-8,0.20707016658305677,0.5522224193135418,0.26681100029538624,0.552285050348567,0.2613430127041737,0.29130511920630875,0.760335480370337,0.5554895301315216,0.08289387559170205
machine-2-1,0.40105307041504296,0.7544458110547384,0.46253575616255765,0.9663201663201664,0.8390159689253339,0.38362248857466646,0.9553097363521528,0.7967823426771664,0.41883023998552626
machine-2-2,0.15867981245040785,0.6272537678255166,0.27014049179478755,0.4789762340036563,0.42857142857142816,0.39989470659924947,0.7174311860835039,0.6403724350246116,0.16263483141221327
machine-2-3,0.5680588105639857,0.9351832987987885,0.5290531468211888,0.9613899613899614,0.7499999999999994,0.35033273244772245,0.7765879402860426,0.9499932934710783,0.45684863214900046
machine-2-4,0.4808429030193277,0.8550874410688095,0.4282706581691278,0.8699132755170114,0.39999999999999963,0.16171861042042593,0.6806341810723456,0.8580627659406405,0.4454172988994779
machine-2-5,0.4391297994796648,0.8847183313854177,0.5105516396314386,0.872568093385214,0.45532105972159803,0.29844962072507486,0.675732628481077,0.9016802802871982,0.4174905885022741
machine-2-6,0.36902306995284584,0.8575829928753758,0.4677099387821243,0.5494505494505495,0.609480812641083,0.41479429545041296,0.6914908950092888,0.8922483383330105,0.24317495286320429
machine-2-7,0.8160582232647741,0.9561900286388851,0.8088376885489873,0.8448753462603878,0.09523809523809514,0.09328276348724088,0.6694118665249023,0.9318440330480846,0.6274518063527451
machine-2-8,0.9692626713322691,0.9902972250148002,0.9779129823420241,1.0,0.9999999999999996,0.6599070553443177,0.9999836814268483,0.9991477566942202,0.9667950059533067
machine-2-9,0.8031584730673162,0.9467432614921302,0.8005893629555425,0.9931818181818182,0.8104278074866303,0.2654093377339015,0.8899438294972437,0.9780443871788957,0.866474397846996
machine-3-1,0.3829113132729501,0.7641213118699642,0.4754864956074225,0.5773672055427251,0.39999999999999963,0.21492324169939309,0.6667740386948272,0.7736892848238043,0.17157166094513154
machine-3-10,0.7988394818341651,0.8984297204427217,0.8374020772899344,0.9810066476733144,0.9331481848839511,0.5017497862828605,0.9241928202296599,0.9089981405092432,0.7890984631876745
machine-3-11,0.2458156838888521,0.9153814816351235,0.411604508801033,1.0,0.9999999999999996,0.4007692307692308,0.9939959296864727,0.9528085848609282,0.2556659715768304
machine-3-2,0.050808965832205566,0.5374246334806112,0.10156078063667198,0.8785553047404063,0.33333333333333304,0.1668857782469705,0.7238150266354019,0.5080874991834907,0.050044411427052994
machine-3-3,0.1397718069904455,0.8076722050301389,0.22681300157660653,0.8865800865800866,0.4258555133079843,0.37237409238806823,0.8346435880405451,0.8144639705043739,0.1356340547845356
machine-3-4,0.8279047917897582,0.9705237330095658,0.7415956762257078,0.9397721106890938,0.5538572199244736,0.28409420591673834,0.7819815580988029,0.9571630883478589,0.5784812044311637
machine-3-5,0.18934566677966272,0.6960613728235714,0.3110375189843966,0.7562043795620438,0.6249999999999994,0.2929857681031313,0.6915460605543902,0.6013720211676701,0.09102489787059981
machine-3-6,0.4909467415202603,0.9459032010444013,0.4828886968722085,0.991180176396472,0.8914651209274429,0.5299668919967135,0.9758032834221222,0.9646958234232981,0.5461674918604659
machine-3-7,0.2551778206467983,0.7344760693797701,0.3076890467143767,0.8348993288590604,0.33333333333333304,0.11148894826329854,0.6670849187213564,0.716581216208818,0.11979047271169987
machine-3-8,0.39051878069428014,0.8434318074774105,0.3649364496518558,0.9827956989247312,0.9283582089552234,0.4101749420034844,0.91808623673103,0.8795286753188137,0.40585878238570094
machine-3-9,0.3443564515687159,0.7775980090879058,0.4815686769312171,0.5,0.39999999999999963,0.24118415324336095,0.6667946943427137,0.8088770737106168,0.190634051033122
